[Latitude],[Longitude],[Value],[Direction]
75.00,-180.00,16.79,70
75.00,-179.00,17.04,69
75.00,-178.00,17.47,69
75.00,-177.00,18.20,70
75.00,-176.00,18.87,71
75.00,-175.00,19.37,72
75.00,-174.00,19.81,74
75.00,-173.00,20.27,76
75.00,-172.00,20.52,77
75.00,-171.00,20.59,79
75.00,-170.00,20.46,81
75.00,-169.00,20.18,83
75.00,-168.00,20.14,84
75.00,-167.00,20.08,86
75.00,-166.00,20.23,88
75.00,-165.00,20.41,90
75.00,-164.00,20.24,93
75.00,-163.00,19.91,95
75.00,-162.00,19.80,97
75.00,-161.00,19.47,99
75.00,-160.00,19.53,100
75.00,-159.00,19.79,101
75.00,-158.00,19.82,101
75.00,-157.00,19.86,102
75.00,-156.00,19.67,102
75.00,-155.00,19.67,102
75.00,-154.00,19.60,101
75.00,-153.00,19.37,100
75.00,-152.00,19.14,100
75.00,-151.00,18.92,99
75.00,-150.00,18.70,99
75.00,-149.00,18.48,98
75.00,-148.00,18.48,98
75.00,-147.00,18.67,98
75.00,-146.00,18.70,99
75.00,-145.00,18.50,99
75.00,-144.00,18.34,100
75.00,-143.00,18.22,101
75.00,-142.00,18.07,102
75.00,-141.00,17.88,102
75.00,-140.00,17.50,102
75.00,-139.00,17.12,102
75.00,-138.00,16.79,103
75.00,-137.00,16.60,104
75.00,-136.00,16.22,104
75.00,-135.00,15.98,103
75.00,-134.00,15.56,103
75.00,-133.00,14.99,103
75.00,-132.00,14.66,105
75.00,-131.00,14.48,105
75.00,-130.00,14.34,106
75.00,-129.00,14.15,106
75.00,-128.00,14.10,105
75.00,-127.00,13.77,103
75.00,-126.00,12.85,100
75.00,-125.00,11.60,99
75.00,-124.00,10.04,99
75.00,-123.00,9.30,101
75.00,-122.00,9.11,106
75.00,-121.00,9.35,111
75.00,-120.00,9.83,115
75.00,-119.00,10.35,118
75.00,-118.00,10.18,119
75.00,-117.00,8.99,112
75.00,-116.00,7.70,100
75.00,-115.00,6.62,87
75.00,-114.00,5.88,82
75.00,-113.00,5.65,86
75.00,-112.00,5.47,96
75.00,-111.00,5.99,103
75.00,-110.00,6.18,103
75.00,-109.00,5.28,96
75.00,-108.00,4.70,83
75.00,-107.00,5.05,67
75.00,-106.00,5.04,62
75.00,-105.00,5.67,68
75.00,-104.00,5.95,79
75.00,-103.00,6.03,90
75.00,-102.00,6.49,99
75.00,-101.00,6.52,100
75.00,-100.00,6.25,95
75.00,-99.00,5.45,92
75.00,-98.00,4.88,95
75.00,-97.00,5.11,99
75.00,-96.00,5.28,96
75.00,-95.00,4.47,90
75.00,-94.00,3.33,83
75.00,-93.00,3.33,83
75.00,-92.00,3.96,79
75.00,-91.00,4.37,69
75.00,-90.00,4.43,52
75.00,-89.00,4.86,37
75.00,-88.00,5.07,32
75.00,-87.00,3.74,28
75.00,-86.00,1.05,22
75.00,-85.00,1.18,189
75.00,-84.00,1.60,166
75.00,-83.00,1.10,45
75.00,-82.00,4.35,350
75.00,-81.00,8.55,343
75.00,-80.00,11.34,354
75.00,-79.00,14.08,6
75.00,-78.00,14.19,9
75.00,-77.00,10.71,12
75.00,-76.00,6.44,29
75.00,-75.00,5.57,61
75.00,-74.00,6.79,66
75.00,-73.00,8.30,57
75.00,-72.00,9.41,52
75.00,-71.00,9.60,54
75.00,-70.00,9.31,61
75.00,-69.00,8.92,70
75.00,-68.00,8.58,77
75.00,-67.00,8.06,82
75.00,-66.00,7.40,87
75.00,-65.00,6.80,90
75.00,-64.00,6.42,92
75.00,-63.00,5.84,92
75.00,-62.00,4.68,95
75.00,-61.00,3.87,108
75.00,-60.00,4.27,120
75.00,-59.00,6.79,114
75.00,-58.00,9.88,100
75.00,-57.00,14.24,95
75.00,-56.00,16.85,97
75.00,-55.00,18.77,103
75.00,-54.00,20.41,108
75.00,-53.00,21.30,111
75.00,-52.00,19.65,117
75.00,-51.00,17.20,124
75.00,-50.00,16.73,129
75.00,-49.00,17.95,130
75.00,-48.00,18.75,131
75.00,-47.00,18.86,132
75.00,-46.00,18.01,134
75.00,-45.00,16.77,135
75.00,-44.00,14.47,139
75.00,-43.00,11.98,144
75.00,-42.00,9.94,149
75.00,-41.00,7.82,153
75.00,-40.00,5.05,157
75.00,-39.00,1.79,167
75.00,-38.00,1.67,306
75.00,-37.00,4.71,322
75.00,-36.00,6.85,325
75.00,-35.00,8.84,327
75.00,-34.00,10.24,327
75.00,-33.00,11.11,327
75.00,-32.00,11.77,329
75.00,-31.00,11.92,332
75.00,-30.00,12.10,336
75.00,-29.00,12.74,339
75.00,-28.00,13.43,338
75.00,-27.00,14.63,341
75.00,-26.00,17.23,349
75.00,-25.00,21.26,355
75.00,-24.00,22.05,355
75.00,-23.00,17.50,348
75.00,-22.00,11.41,337
75.00,-21.00,9.72,344
75.00,-20.00,14.58,359
75.00,-19.00,21.19,1
75.00,-18.00,26.12,356
75.00,-17.00,28.80,350
75.00,-16.00,29.06,348
75.00,-15.00,28.07,348
75.00,-14.00,27.20,351
75.00,-13.00,27.14,355
75.00,-12.00,27.04,358
75.00,-11.00,26.83,0
75.00,-10.00,26.64,2
75.00,-9.00,26.67,3
75.00,-8.00,26.68,3
75.00,-7.00,26.50,4
75.00,-6.00,25.56,5
75.00,-5.00,23.92,7
75.00,-4.00,21.58,11
75.00,-3.00,19.01,16
75.00,-2.00,17.36,22
75.00,-1.00,17.39,25
75.00,0.00,18.87,26
75.00,1.00,21.66,25
75.00,2.00,23.94,23
75.00,3.00,23.94,23
75.00,4.00,20.26,28
75.00,5.00,13.89,43
75.00,6.00,9.19,84
75.00,7.00,10.30,126
75.00,8.00,12.00,140
75.00,9.00,12.45,141
75.00,10.00,12.99,141
75.00,11.00,14.19,144
75.00,12.00,16.18,147
75.00,13.00,18.47,150
75.00,14.00,20.04,150
75.00,15.00,20.30,150
75.00,16.00,19.70,149
75.00,17.00,18.40,149
75.00,18.00,16.71,147
75.00,19.00,14.89,144
75.00,20.00,13.03,142
75.00,21.00,11.59,145
75.00,22.00,10.44,151
75.00,23.00,9.50,157
75.00,24.00,9.04,161
75.00,25.00,8.73,163
75.00,26.00,8.49,164
75.00,27.00,8.61,162
75.00,28.00,9.06,157
75.00,29.00,10.01,151
75.00,30.00,10.84,147
75.00,31.00,11.21,146
75.00,32.00,10.30,148
75.00,33.00,8.69,153
75.00,34.00,6.95,162
75.00,35.00,6.04,176
75.00,36.00,5.88,188
75.00,37.00,5.80,194
75.00,38.00,5.23,195
75.00,39.00,4.54,190
75.00,40.00,4.09,183
75.00,41.00,4.48,178
75.00,42.00,5.47,174
75.00,43.00,6.85,173
75.00,44.00,7.67,171
75.00,45.00,7.89,170
75.00,46.00,7.74,168
75.00,47.00,7.40,166
75.00,48.00,7.08,164
75.00,49.00,7.01,161
75.00,50.00,6.79,156
75.00,51.00,6.44,151
75.00,52.00,5.88,146
75.00,53.00,5.36,136
75.00,54.00,4.91,124
75.00,55.00,4.62,112
75.00,56.00,4.37,111
75.00,57.00,3.91,117
75.00,58.00,3.04,130
75.00,59.00,1.65,135
75.00,60.00,0.43,117
75.00,61.00,0.87,27
75.00,62.00,1.24,51
75.00,63.00,0.80,76
75.00,64.00,0.27,135
75.00,65.00,0.58,270
75.00,66.00,2.00,299
75.00,67.00,3.58,311
75.00,68.00,5.22,315
75.00,69.00,6.62,320
75.00,70.00,7.99,319
75.00,71.00,9.66,320
75.00,72.00,11.58,319
75.00,73.00,13.64,319
75.00,74.00,15.27,318
75.00,75.00,16.36,316
75.00,76.00,17.19,316
75.00,77.00,17.34,318
75.00,78.00,16.24,318
75.00,79.00,14.72,318
75.00,80.00,13.37,319
75.00,81.00,12.05,322
75.00,82.00,10.62,325
75.00,83.00,9.01,327
75.00,84.00,7.12,325
75.00,85.00,5.36,316
75.00,86.00,4.26,294
75.00,87.00,4.09,273
75.00,88.00,4.68,265
75.00,89.00,5.26,274
75.00,90.00,5.66,286
75.00,91.00,5.65,297
75.00,92.00,4.64,303
75.00,93.00,2.76,309
75.00,94.00,1.23,342
75.00,95.00,1.48,23
75.00,96.00,1.98,11
75.00,97.00,2.15,355
75.00,98.00,1.60,346
75.00,99.00,0.27,45
75.00,100.00,1.24,129
75.00,101.00,2.00,119
75.00,102.00,1.79,103
75.00,103.00,1.79,103
75.00,104.00,2.35,114
75.00,105.00,3.16,133
75.00,106.00,3.89,143
75.00,107.00,4.26,137
75.00,108.00,4.35,117
75.00,109.00,5.44,90
75.00,110.00,7.01,71
75.00,111.00,8.37,59
75.00,112.00,9.38,56
75.00,113.00,10.27,61
75.00,114.00,10.40,69
75.00,115.00,10.48,79
75.00,116.00,10.90,87
75.00,117.00,11.47,91
75.00,118.00,11.87,93
75.00,119.00,11.70,95
75.00,120.00,11.55,97
75.00,121.00,11.29,101
75.00,122.00,10.84,105
75.00,123.00,10.45,108
75.00,124.00,10.04,112
75.00,125.00,9.75,113
75.00,126.00,9.40,114
75.00,127.00,9.04,115
75.00,128.00,8.09,117
75.00,129.00,6.52,117
75.00,130.00,4.96,116
75.00,131.00,3.69,108
75.00,132.00,2.97,101
75.00,133.00,2.75,98
75.00,134.00,2.56,99
75.00,135.00,2.36,99
75.00,136.00,2.36,99
75.00,137.00,2.53,94
75.00,138.00,2.75,82
75.00,139.00,2.53,58
75.00,140.00,3.40,31
75.00,141.00,4.35,10
75.00,142.00,5.83,0
75.00,143.00,7.02,355
75.00,144.00,8.42,353
75.00,145.00,9.58,354
75.00,146.00,10.33,356
75.00,147.00,10.13,357
75.00,148.00,9.93,357
75.00,149.00,10.12,358
75.00,150.00,11.08,0
75.00,151.00,12.06,2
75.00,152.00,12.67,4
75.00,153.00,12.76,8
75.00,154.00,12.70,11
75.00,155.00,12.82,14
75.00,156.00,13.04,17
75.00,157.00,13.54,21
75.00,158.00,14.00,25
75.00,159.00,14.04,31
75.00,160.00,13.97,35
75.00,161.00,13.81,39
75.00,162.00,13.76,43
75.00,163.00,13.75,45
75.00,164.00,13.90,48
75.00,165.00,14.09,51
75.00,166.00,14.19,54
75.00,167.00,14.34,57
75.00,168.00,14.54,60
75.00,169.00,14.43,63
75.00,170.00,14.00,65
75.00,171.00,13.56,65
75.00,172.00,13.13,65
75.00,173.00,12.96,64
75.00,174.00,13.13,65
75.00,175.00,13.66,66
75.00,176.00,14.63,67
75.00,177.00,15.52,68
