[Latitude],[Longitude],[Value],[Direction]
75.00,-180.00,8.65,331
75.00,-179.00,9.04,330
75.00,-178.00,9.41,329
75.00,-177.00,9.72,328
75.00,-176.00,9.98,328
75.00,-175.00,10.17,327
75.00,-174.00,10.26,327
75.00,-173.00,10.29,327
75.00,-172.00,10.28,326
75.00,-171.00,10.21,325
75.00,-170.00,10.19,324
75.00,-169.00,10.26,322
75.00,-168.00,10.38,320
75.00,-167.00,10.50,318
75.00,-166.00,10.64,316
75.00,-165.00,10.74,314
75.00,-164.00,10.77,312
75.00,-163.00,10.74,310
75.00,-162.00,10.66,308
75.00,-161.00,10.49,306
75.00,-160.00,10.33,303
75.00,-159.00,10.19,301
75.00,-158.00,10.08,298
75.00,-157.00,10.05,296
75.00,-156.00,10.11,294
75.00,-155.00,10.18,291
75.00,-154.00,10.24,288
75.00,-153.00,10.32,285
75.00,-152.00,10.39,281
75.00,-151.00,10.51,276
75.00,-150.00,10.65,271
75.00,-149.00,10.87,265
75.00,-148.00,11.15,259
75.00,-147.00,11.46,253
75.00,-146.00,11.81,247
75.00,-145.00,12.24,242
75.00,-144.00,12.76,236
75.00,-143.00,13.36,231
75.00,-142.00,13.99,226
75.00,-141.00,14.65,222
75.00,-140.00,15.23,219
75.00,-139.00,15.64,215
75.00,-138.00,15.93,212
75.00,-137.00,16.11,209
75.00,-136.00,16.15,206
75.00,-135.00,16.08,204
75.00,-134.00,15.93,203
75.00,-133.00,15.60,203
75.00,-132.00,15.01,203
75.00,-131.00,14.18,204
75.00,-130.00,12.99,205
75.00,-129.00,11.32,206
75.00,-128.00,9.30,209
75.00,-127.00,7.06,213
75.00,-126.00,4.57,221
75.00,-125.00,2.52,248
75.00,-124.00,2.33,307
75.00,-123.00,3.96,337
75.00,-122.00,5.93,345
75.00,-121.00,7.94,347
75.00,-120.00,9.49,347
75.00,-119.00,10.29,345
75.00,-118.00,10.62,342
75.00,-117.00,10.71,338
75.00,-116.00,10.52,333
75.00,-115.00,10.34,329
75.00,-114.00,10.31,326
75.00,-113.00,10.26,323
75.00,-112.00,10.08,320
75.00,-111.00,9.79,319
75.00,-110.00,9.20,315
75.00,-109.00,8.25,307
75.00,-108.00,7.29,294
75.00,-107.00,6.72,275
75.00,-106.00,7.03,252
75.00,-105.00,8.18,234
75.00,-104.00,9.54,222
75.00,-103.00,10.89,214
75.00,-102.00,11.96,210
75.00,-101.00,12.62,208
75.00,-100.00,13.05,207
75.00,-99.00,13.38,208
75.00,-98.00,13.49,209
75.00,-97.00,13.33,210
75.00,-96.00,12.89,212
75.00,-95.00,12.22,214
75.00,-94.00,11.22,215
75.00,-93.00,10.06,216
75.00,-92.00,9.03,217
75.00,-91.00,8.05,215
75.00,-90.00,7.37,214
75.00,-89.00,7.25,214
75.00,-88.00,7.38,215
75.00,-87.00,7.36,219
75.00,-86.00,7.36,226
75.00,-85.00,7.32,235
75.00,-84.00,7.24,245
75.00,-83.00,7.19,256
75.00,-82.00,6.84,264
75.00,-81.00,6.07,271
75.00,-80.00,5.22,279
75.00,-79.00,4.34,290
75.00,-78.00,3.66,305
75.00,-77.00,3.87,321
75.00,-76.00,4.84,331
75.00,-75.00,5.93,335
75.00,-74.00,7.07,334
75.00,-73.00,8.05,333
75.00,-72.00,8.17,332
75.00,-71.00,7.48,330
75.00,-70.00,6.40,330
75.00,-69.00,4.90,333
75.00,-68.00,3.34,344
75.00,-67.00,2.86,9
75.00,-66.00,3.70,31
75.00,-65.00,4.91,41
75.00,-64.00,6.07,42
75.00,-63.00,7.08,42
75.00,-62.00,7.47,42
75.00,-61.00,7.23,42
75.00,-60.00,6.93,44
75.00,-59.00,6.93,51
75.00,-58.00,7.18,61
75.00,-57.00,7.73,72
75.00,-56.00,8.76,82
75.00,-55.00,9.62,90
75.00,-54.00,9.91,98
75.00,-53.00,9.98,107
75.00,-52.00,9.98,115
75.00,-51.00,9.81,123
75.00,-50.00,9.78,130
75.00,-49.00,10.01,134
75.00,-48.00,10.16,135
75.00,-47.00,9.87,137
75.00,-46.00,9.20,138
75.00,-45.00,8.11,140
75.00,-44.00,6.41,144
75.00,-43.00,4.49,153
75.00,-42.00,3.00,162
75.00,-41.00,1.80,173
75.00,-40.00,0.78,203
75.00,-39.00,0.73,299
75.00,-38.00,1.67,328
75.00,-37.00,2.91,329
75.00,-36.00,4.37,326
75.00,-35.00,5.65,325
75.00,-34.00,6.49,324
75.00,-33.00,7.08,324
75.00,-32.00,7.47,325
75.00,-31.00,7.62,327
75.00,-30.00,7.79,329
75.00,-29.00,8.21,329
75.00,-28.00,8.63,328
75.00,-27.00,8.73,325
75.00,-26.00,8.59,320
75.00,-25.00,8.28,315
75.00,-24.00,7.53,308
75.00,-23.00,6.80,301
75.00,-22.00,6.74,302
75.00,-21.00,7.26,308
75.00,-20.00,8.39,317
75.00,-19.00,10.49,327
75.00,-18.00,13.17,333
75.00,-17.00,15.36,337
75.00,-16.00,17.22,340
75.00,-15.00,18.34,342
75.00,-14.00,18.28,344
75.00,-13.00,17.52,346
75.00,-12.00,16.79,348
75.00,-11.00,15.87,350
75.00,-10.00,15.27,351
75.00,-9.00,15.31,352
75.00,-8.00,15.69,352
75.00,-7.00,16.11,352
75.00,-6.00,16.65,352
75.00,-5.00,17.12,353
75.00,-4.00,17.38,354
75.00,-3.00,17.59,357
75.00,-2.00,17.91,359
75.00,-1.00,18.39,2
75.00,0.00,18.80,5
75.00,1.00,19.24,7
75.00,2.00,19.46,10
75.00,3.00,18.87,14
75.00,4.00,17.60,17
75.00,5.00,15.52,22
75.00,6.00,12.34,29
75.00,7.00,8.65,41
75.00,8.00,5.61,69
75.00,9.00,5.15,122
75.00,10.00,7.97,153
75.00,11.00,11.27,165
